FP	TP
0.4531306806	0.9519680824
0.4066855164	0.9429067564
0.3546106998	0.9366163415
0.3362162338	0.9313668804
0.3235681191	0.9269889154
0.3133163451	0.9229377616
0.3044427504	0.9194499146
0.2964460501	0.9164974418
0.2894228632	0.9136175938
0.283359252	0.9108680977
0.2766899411	0.9081064976
0.2715318083	0.9056484314
0.2593644264	0.9028821758
0.2544460695	0.9003375186
0.250243024	0.8981345698
0.2456057835	0.8957509904
0.2417537793	0.8936011136
0.2379620143	0.891323678
0.2417537793	0.8936011136
0.2410027968	0.8931830561
0.2402896114	0.8927324106
0.2395322506	0.8923534588
0.238814813	0.8918376373
0.2379620143	0.891323678
0.2374123017	0.8910220062
0.2366568307	0.8904791833
0.2359559294	0.8900508838
0.2353584979	0.8896142046
